ID,filename,calendar_date,bodylocation,N valid hours,N hours,weekday,measurementday,L5hr_ENMO_mg_0-24hr,L5_ENMO_mg_0-24hr,M5hr_ENMO_mg_0-24hr,M5_ENMO_mg_0-24hr,mean_ENMO_mg_1-6am,mean_ENMO_mg_0-24hr,MVPA_E5S_T100_ENMO_0-24hr,MVPA_E1M_T100_ENMO_0-24hr,MVPA_E5M_T100_ENMO_0-24hr,MVPA_E5S_B1M80%_T100_ENMO_0-24hr,MVPA_E5S_B5M80%_T100_ENMO_0-24hr,MVPA_E5S_B10M80%_T100_ENMO_0-24hr,L5hr_NeishabouriCount_x_mg_0-24hr,L5_NeishabouriCount_x_mg_0-24hr,M5hr_NeishabouriCount_x_mg_0-24hr,M5_NeishabouriCount_x_mg_0-24hr,mean_NeishabouriCount_x_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_x_0-24hr,MVPA_E1M_T100_NeishabouriCount_x_0-24hr,MVPA_E5M_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_x_0-24hr,L5hr_NeishabouriCount_y_mg_0-24hr,L5_NeishabouriCount_y_mg_0-24hr,M5hr_NeishabouriCount_y_mg_0-24hr,M5_NeishabouriCount_y_mg_0-24hr,mean_NeishabouriCount_y_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_y_0-24hr,MVPA_E1M_T100_NeishabouriCount_y_0-24hr,MVPA_E5M_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_y_0-24hr,L5hr_NeishabouriCount_z_mg_0-24hr,L5_NeishabouriCount_z_mg_0-24hr,M5hr_NeishabouriCount_z_mg_0-24hr,M5_NeishabouriCount_z_mg_0-24hr,mean_NeishabouriCount_z_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_z_0-24hr,MVPA_E1M_T100_NeishabouriCount_z_0-24hr,MVPA_E5M_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_z_0-24hr,L5hr_NeishabouriCount_vm_mg_0-24hr,L5_NeishabouriCount_vm_mg_0-24hr,M5hr_NeishabouriCount_vm_mg_0-24hr,M5_NeishabouriCount_vm_mg_0-24hr,mean_NeishabouriCount_vm_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_vm_0-24hr,MVPA_E1M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_vm_0-24hr,step_count_sum_0-24hr
Lup008,Lup008 back post.cwa,2022-10-26T05:15:00+0200,not extracted,18.75,18.75,Wednesday,1,20,3.15,7.667,18.837,7.527,9.534,12.083,10,10,10.083,9.5,0,19.667,853.278,3.833,24265.5,9.182,32,20,20,14.5,12.167,0,19.833,4547.222,3.833,44202.222,22.988,127.167,111,85,56.167,14.917,0,19.667,6560.444,3.833,29683.444,15.204,56.75,26,5,4.5,5.25,0,19.667,6.389,3.833,571.611,0.229,0,0,0,0,0,0,0
Lup008,Lup008 back post.cwa,2022-10-27T00:00:00+0200,not extracted,22.75,24,Thursday,2,20,2.592,9.5,24.416,4.111,7.924,0.583,0,0,0,0,0,26,160.556,7.333,42117.222,10.475,73.083,59,40,50.667,40.333,38.583,26.167,268.333,7.333,59631.667,18.643,137.167,128,100,86.75,70.083,69.417,26.167,702.5,7.333,32450.278,11.468,40.833,9,0,0,0,0,26.333,0,8.5,1732.222,0.393,0,0,0,0,0,0,0
Lup008,Lup008 back post.cwa,2022-10-28T00:00:00+0200,not extracted,24,24,Friday,3,26,2.051,10,16.49,2.625,8.602,4.75,2,0,1.167,0,0,24.167,185,14.333,16147.5,7.401,36.083,27,15,11.75,0,0,24.167,548.056,6.833,44949.444,20.946,137.417,133,100,78.167,6.917,0,23.167,738.056,17,35164.722,14.851,74.833,44,30,12,0,0,25.333,0.278,6.833,436.389,0.19,0,0,0,0,0,0,0
Lup008,Lup008 back post.cwa,2022-10-29T00:00:00+0200,not extracted,24,24,Saturday,4,25.167,1.569,8,9.587,1.691,4.925,1.5,0,0,0,0,0,22.333,92.778,8,14729.167,4.663,22.667,8,5,1.583,0,0,22.333,349.167,8,48755,14.329,87.833,75,30,27.583,5,0,22.833,426.944,7.833,35489.167,11.845,57.667,26,10,2,0,0,25.667,0,8,293.056,0.089,0,0,0,0,0,0,0
Lup008,Lup008 back post.cwa,2022-10-30T00:00:00+0200,not extracted,12.75,25,Sunday,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup008,Lup008 back post.cwa,2022-10-31T00:00:00+0100,not extracted,0,24,Monday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup008,Lup008 back post.cwa,2022-11-01T00:00:00+0100,not extracted,0,15.75,Tuesday,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup010,Lup010 back post.cwa,2022-11-12T05:15:00+0100,not extracted,18.75,18.75,Saturday,1,34.333,8.311,0.667,41.972,40.049,30.041,114.917,111,95,97.667,99.667,88.417,34.333,14041.111,13.167,62692.778,42.247,222.083,208,215,172.5,176.25,166.583,18.667,9400.833,7.333,37682.222,24.238,105.917,50,10,17.167,8,0,34.333,19881.111,7.333,50689.444,35.723,214.5,188,150,132.75,136.5,120.083,34.333,225,13.167,1641.667,1.072,0,0,0,0,0,0,0
Lup010,Lup010 back post.cwa,2022-11-13T00:00:00+0100,not extracted,24,24,Sunday,2,26.167,4.539,12.833,57.981,6.044,26.349,78.833,78,80,72.667,74.25,68.833,25.5,290,13,90010,33.839,165.417,148,125,90.75,79.75,78.75,22.5,813.333,13,76307.222,30.259,189.167,137,70,52.75,13.833,0,26.167,2639.722,13,83667.778,34.726,223.833,201,155,105.917,85.083,80.5,22.667,0,13,2178.056,0.822,0,0,0,0,0,0,0
Lup010,Lup010 back post.cwa,2022-11-14T00:00:00+0100,not extracted,24,24,Monday,3,25,0.271,6,51.127,0.271,21.745,55.417,48,50,40.667,33.917,34.333,25,512.778,6,64923.611,20.674,99.583,75,65,51,42.667,39.417,25,1191.111,6,45316.389,17.582,100.667,40,5,10.083,0,0,25,4069.167,6,55156.944,22.104,138.833,87,65,55.833,43.917,40.417,25,0.278,6,1538.889,0.489,0,0,0,0,0,0,0
Lup010,Lup010 back post.cwa,2022-11-15T00:00:00+0100,not extracted,24,24,Tuesday,4,24.667,1.912,6,44.277,1.917,21.766,51.417,38,30,31.333,29.667,31.333,23.167,194.167,6,58951.111,18.952,95.417,78,60,43.917,32.833,34,24.667,812.5,6,42702.778,16.323,93.333,40,15,11.083,0,0,23.333,1875.556,5.833,52757.222,21.606,135.333,96,65,49.917,34.167,34.25,24.833,0,5.833,1528.056,0.476,0,0,0,0,0,0,0
Lup010,Lup010 back post.cwa,2022-11-16T00:00:00+0100,not extracted,24,24,Wednesday,5,24.833,3.715,16.333,60.75,3.716,32.409,132.667,116,110,108,100.417,99,23.667,335.278,16.333,99285.833,39.582,189.833,179,170,131.333,108,110.667,23.667,968.611,6,50646.667,24.263,132.333,62,45,23.25,0,0,24,2490.833,16.5,73313.611,33.315,229.417,185,150,136.5,109.583,113.667,25,1.667,16.333,2550.278,0.954,0,0,0,0,0,0,0
