ID,filename,calendar_date,bodylocation,N valid hours,N hours,weekday,measurementday,L5hr_ENMO_mg_0-24hr,L5_ENMO_mg_0-24hr,M5hr_ENMO_mg_0-24hr,M5_ENMO_mg_0-24hr,mean_ENMO_mg_1-6am,mean_ENMO_mg_0-24hr,MVPA_E5S_T100_ENMO_0-24hr,MVPA_E1M_T100_ENMO_0-24hr,MVPA_E5M_T100_ENMO_0-24hr,MVPA_E5S_B1M80%_T100_ENMO_0-24hr,MVPA_E5S_B5M80%_T100_ENMO_0-24hr,MVPA_E5S_B10M80%_T100_ENMO_0-24hr,L5hr_NeishabouriCount_x_mg_0-24hr,L5_NeishabouriCount_x_mg_0-24hr,M5hr_NeishabouriCount_x_mg_0-24hr,M5_NeishabouriCount_x_mg_0-24hr,mean_NeishabouriCount_x_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_x_0-24hr,MVPA_E1M_T100_NeishabouriCount_x_0-24hr,MVPA_E5M_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_x_0-24hr,L5hr_NeishabouriCount_y_mg_0-24hr,L5_NeishabouriCount_y_mg_0-24hr,M5hr_NeishabouriCount_y_mg_0-24hr,M5_NeishabouriCount_y_mg_0-24hr,mean_NeishabouriCount_y_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_y_0-24hr,MVPA_E1M_T100_NeishabouriCount_y_0-24hr,MVPA_E5M_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_y_0-24hr,L5hr_NeishabouriCount_z_mg_0-24hr,L5_NeishabouriCount_z_mg_0-24hr,M5hr_NeishabouriCount_z_mg_0-24hr,M5_NeishabouriCount_z_mg_0-24hr,mean_NeishabouriCount_z_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_z_0-24hr,MVPA_E1M_T100_NeishabouriCount_z_0-24hr,MVPA_E5M_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_z_0-24hr,L5hr_NeishabouriCount_vm_mg_0-24hr,L5_NeishabouriCount_vm_mg_0-24hr,M5hr_NeishabouriCount_vm_mg_0-24hr,M5_NeishabouriCount_vm_mg_0-24hr,mean_NeishabouriCount_vm_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_vm_0-24hr,MVPA_E1M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_vm_0-24hr,step_count_sum_0-24hr
Lup001,Lup001 thigh pre.cwa,2022-07-19T05:15:00+0200,not extracted,18.75,18.75,Tuesday,1,32.5,12.077,18,48.905,21.747,25.672,95.917,81,85,63.667,58.083,26.5,32.5,15021.389,18,88168.056,41.885,171.833,163,155,98.333,78.667,40.667,32.5,16009.444,18.5,48221.111,28.513,150.5,92,75,59.167,50.167,27,32.5,25621.111,18.667,108048.889,58.85,294.917,290,265,148.417,104.5,59.5,32.5,173.611,18.5,1003.333,0.484,0,0,0,0,0,0,0
Lup001,Lup001 thigh pre.cwa,2022-07-20T00:00:00+0200,not extracted,24,24,Wednesday,2,25.167,4.272,11.167,48.972,4.289,19.959,82.167,70,65,52.333,25.833,11.667,25,1690,11.667,87246.667,34.335,143.833,131,115,60.667,40.5,22.583,25,1421.667,11.167,41529.722,19.653,114.333,56,25,35,10.667,0,26.333,2006.667,11.333,111643.056,47.812,230.417,270,230,121.083,62.5,29.833,26.167,1.389,10.833,1126.389,0.396,0,0,0,0,0,0,0
Lup001,Lup001 thigh pre.cwa,2022-07-21T00:00:00+0200,not extracted,24,24,Thursday,3,24.333,3.098,7.667,42.831,3.167,15.297,48.333,31,35,27.667,20.5,10.333,25.333,4807.5,8.333,72969.722,24.645,97.917,82,60,31.25,27.083,11.083,25.333,4282.5,7.667,41532.222,21.515,122.083,36,20,23.917,16.417,12.25,25.333,8290,7.5,93836.667,42.73,218.167,203,130,71.5,39.583,30.5,25.333,34.444,8.333,880.278,0.28,0,0,0,0,0,0,0
Lup001,Lup001 thigh pre.cwa,2022-07-22T00:00:00+0200,not extracted,20.75,24,Friday,4,24,3.382,17.333,16.15,3.595,10.048,20.417,5,0,0,0,0,26.667,3381.806,17.5,26913.681,14.131,61.083,31,5,4.5,0,0,26.5,3074.444,17.5,26423.125,16.406,80.167,15,0,3.083,0,0,26.5,5639.537,11.333,43226.111,28.763,150.917,138,55,25.833,0,0,26.667,4.722,17.333,301.875,0.158,0,0,0,0,0,0,0
Lup001,Lup001 thigh pre.cwa,2022-07-23T00:00:00+0200,not extracted,23,24,Saturday,5,25.167,5.254,8.667,37.137,5.383,17.381,45.667,34,50,27.167,19.667,9.583,26.5,6609.444,7.167,53861.597,25.226,96,56,60,30.75,22.25,13.167,26.333,7439.375,8.667,42714.167,25.398,139.5,54,15,26,22.917,11.25,26.333,15184.236,8.667,75417.778,44.595,231.917,182,105,59.333,31.667,38.5,25.833,20.278,8.333,652.5,0.283,0,0,0,0,0,0,0
Lup001,Lup001 thigh pre.cwa,2022-07-24T00:00:00+0200,not extracted,0,11.25,Sunday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup009,Lup009 thigh pre.cwa,2022-08-31T05:15:00+0200,not extracted,18.75,18.75,Wednesday,1,21.5,6.553,14.5,30.855,11.97,18.304,53.25,31,10,17.417,12.917,0,21.667,7608.171,14.5,55595.833,30.691,126.75,112,90,38.417,15.583,10.083,21.667,7591.574,12,81363.889,34.02,183,152,105,73.083,39.75,26.25,21.5,13779.884,10.667,110371.944,55.675,297.583,329,315,153.083,47.833,25.25,21.5,49.375,14.5,570.278,0.309,0,0,0,0,0,0,0
Lup009,Lup009 thigh pre.cwa,2022-09-01T00:00:00+0200,not extracted,24,24,Thursday,2,25,3.017,8.5,26.546,3.017,12.331,42.333,30,30,25,15.667,0,26.5,1993.889,8.5,42478.056,19.007,81.583,65,60,30.833,17,9.167,26.5,2320.556,7.833,38790.556,17.648,100.75,53,15,17.5,0,0,26.5,2971.111,8.667,78061.944,31.878,163.667,166,140,78.333,42.75,22.25,26.5,0.278,8.5,570,0.2,0,0,0,0,0,0,0
Lup009,Lup009 thigh pre.cwa,2022-09-02T00:00:00+0200,not extracted,24,24,Friday,3,24.667,2.527,16.167,18.342,3.05,11.864,35.167,27,10,11.25,0,0,24.667,1575.278,16.167,38395.833,20.465,90.5,85,70,31.417,0,0,24.667,2273.889,17.333,27607.222,15.293,82.583,34,0,6.5,0,0,24.667,3384.444,16.167,74393.889,34.56,165.333,187,195,77.333,28,11.25,24.667,0,16.167,397.5,0.203,0,0,0,0,0,0,0
Lup009,Lup009 thigh pre.cwa,2022-09-03T00:00:00+0200,not extracted,18.5,24,Saturday,4,22.5,4.241,11.167,21.149,6.358,11.968,28.25,13,5,11.417,0,0,22.5,3717.592,11.167,42923.333,20.922,93.417,75,60,32.083,6.583,0,22.5,3012.222,11.333,40162.222,20.079,98.75,59,20,14.917,0,0,22.5,5272.778,11.333,67855,36.45,197.75,209,190,95.5,34.167,0,22.5,23.796,11.333,404.444,0.199,0,0,0,0,0,0,0
Lup009,Lup009 thigh pre.cwa,2022-09-04T00:00:00+0200,not extracted,0,24,Sunday,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup009,Lup009 thigh pre.cwa,2022-09-05T00:00:00+0200,not extracted,0,24,Monday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup009,Lup009 thigh pre.cwa,2022-09-06T00:00:00+0200,not extracted,0,24,Tuesday,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup009,Lup009 thigh pre.cwa,2022-09-07T00:00:00+0200,not extracted,0,10.75,Wednesday,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup018,Lup018 thigh pre.cwa,2022-12-08T05:15:00+0100,not extracted,18.75,18.75,Thursday,1,21.833,2.719,14,43.851,14.94,19.256,58.583,48,40,33.917,25.333,26.5,21.833,2601.972,14,63190.833,26.404,111.25,108,115,63.833,47.417,36.833,21.833,3262.12,17,42414.444,18.74,103,65,25,37.417,19.417,13.333,21.667,4560.204,17.167,77591.111,34.015,165.5,179,150,83.167,39.833,39.25,21.667,8.028,17.167,570.833,0.261,0,0,0,0,0,0,0
Lup018,Lup018 thigh pre.cwa,2022-12-09T00:00:00+0100,not extracted,24,24,Friday,2,26.167,2.805,18.667,48.198,3.248,21.738,97.083,98,90,59.167,41.833,47.25,24.5,536.944,18.667,59399.722,29.126,124.083,132,145,72.5,46.667,37.417,24.5,685,18.667,66764.444,24.368,138.5,102,80,76.333,71.083,76.167,24.5,433.889,18.5,90883.611,41.34,213.583,235,215,149.25,99.167,101.417,24.333,0,18.667,800.278,0.363,0,0,0,0,0,0,0
Lup018,Lup018 thigh pre.cwa,2022-12-10T00:00:00+0100,not extracted,24,24,Saturday,3,28.5,2.237,20.667,40.677,17.95,18.56,72.583,62,65,46.5,45.25,17.333,26.167,557.778,21.167,63623.056,28.697,114.917,96,100,68.25,62.583,34.417,26.167,324.444,11.5,48944.444,24.402,152.833,116,95,66.5,58.417,51.833,26.167,488.056,21.167,83065.556,39.999,216,243,235,150.917,94.5,102.583,27.167,0,11.5,833.056,0.372,0,0,0,0,0,0,0
Lup018,Lup018 thigh pre.cwa,2022-12-11T00:00:00+0100,not extracted,22.5,24,Sunday,4,27,2.037,11.5,46.606,10.659,15.535,62.25,54,50,46.75,37,35.833,27.167,370.069,11.167,76372.222,28.076,117.75,103,95,74.833,69.75,65.583,27,304.861,10.667,40414.444,16.797,91.083,51,35,27.917,19.583,16.833,27.167,540,10.667,107419.444,35.775,177.75,191,190,117.5,79,62.917,27,0,11.5,1116.389,0.328,0,0,0,0,0,0,0
Lup018,Lup018 thigh pre.cwa,2022-12-12T00:00:00+0100,not extracted,23,24,Monday,5,26.5,2.071,8.333,42.758,2.579,15.253,58.667,44,25,31.583,23.333,24.5,25.5,358.889,8.333,73145.833,24.24,97.333,92,85,39.5,25.417,27.167,25.5,452.222,7.5,40405.278,16.962,93.417,54,15,22.5,9.5,11.333,25.5,563.333,7.667,97429.722,34.987,168.5,180,190,80.333,38.083,33.25,25.667,0,7.833,937.778,0.297,0,0,0,0,0,0,0
Lup018,Lup018 thigh pre.cwa,2022-12-13T00:00:00+0100,not extracted,6.75,24,Tuesday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
