ID,filename,calendar_date,bodylocation,N valid hours,N hours,weekday,measurementday,L5hr_ENMO_mg_0-24hr,L5_ENMO_mg_0-24hr,M5hr_ENMO_mg_0-24hr,M5_ENMO_mg_0-24hr,mean_ENMO_mg_1-6am,mean_ENMO_mg_0-24hr,MVPA_E5S_T100_ENMO_0-24hr,MVPA_E1M_T100_ENMO_0-24hr,MVPA_E5M_T100_ENMO_0-24hr,MVPA_E5S_B1M80%_T100_ENMO_0-24hr,MVPA_E5S_B5M80%_T100_ENMO_0-24hr,MVPA_E5S_B10M80%_T100_ENMO_0-24hr
Lup001,Lup001 thigh post.cwa,2022-11-10T05:15:00+0100,not extracted,18.75,18.75,Thursday,1,17,8.786,8.667,30.33,12.368,15.441,47.167,26,25,17.667,8.583,10.083
Lup001,Lup001 thigh post.cwa,2022-11-11T00:00:00+0100,not extracted,24,24,Friday,2,17.333,5.803,11.167,94.534,8.506,26.721,123.083,113,120,100.083,95.917,89.167
Lup001,Lup001 thigh post.cwa,2022-11-12T00:00:00+0100,not extracted,23.75,24,Saturday,3,27.167,2.087,9.167,49.353,2.534,20.31,86.167,76,85,62.167,35.667,10.083
Lup001,Lup001 thigh post.cwa,2022-11-13T00:00:00+0100,not extracted,24,24,Sunday,4,26,1.011,10.167,33.364,1.088,14.328,52.417,34,30,23.667,10,0
Lup001,Lup001 thigh post.cwa,2022-11-14T00:00:00+0100,not extracted,4.75,24,Monday,5,,,,,,,,,,,,
Lup001,Lup001 thigh post.cwa,2022-11-15T00:00:00+0100,not extracted,1,24,Tuesday,6,,,,,,,,,,,,
Lup001,Lup001 thigh post.cwa,2022-11-16T00:00:00+0100,not extracted,9.25,24,Wednesday,7,,,,,,,,,,,,
Lup001,Lup001 thigh post.cwa,2022-11-17T00:00:00+0100,not extracted,0,24,Thursday,8,,,,,,,,,,,,
Lup001,Lup001 thigh post.cwa,2022-11-18T00:00:00+0100,not extracted,0,24,Friday,9,,,,,,,,,,,,
Lup001,Lup001 thigh post.cwa,2022-11-19T00:00:00+0100,not extracted,0,24,Saturday,10,,,,,,,,,,,,
Lup001,Lup001 thigh post.cwa,2022-11-20T00:00:00+0100,not extracted,0,5,Sunday,11,,,,,,,,,,,,
Lup003,Lup003 thigh post.cwa,2023-04-28T05:15:00+0200,not extracted,18.75,18.75,Friday,1,20.833,10.986,13.5,84.746,24.45,45.767,181.25,192,175,113.083,56.917,23.75
Lup003,Lup003 thigh post.cwa,2023-04-29T00:00:00+0200,not extracted,24,24,Saturday,2,29.5,3.803,11,67.581,12.783,26.531,102.667,95,115,46.083,14.25,0
Lup003,Lup003 thigh post.cwa,2023-04-30T00:00:00+0200,not extracted,24,24,Sunday,3,26.667,3.534,11,72.126,3.936,28.549,126,100,75,47.583,12.25,0
