ID,filename,weekday,calendar_date,window_number,start_end_window,sleeponset,sleeponset_ts,wakeup,wakeup_ts,night_number,daysleeper,cleaningcode,guider,sleeplog_used,acc_available,nonwear_perc_day,nonwear_perc_spt,nonwear_perc_day_spt,dur_spt_sleep_min,dur_spt_wake_IN_min,dur_spt_wake_LIG_min,dur_spt_wake_MOD_min,dur_spt_wake_VIG_min,dur_day_IN_unbt_min,dur_day_LIG_unbt_min,dur_day_MOD_unbt_min,dur_day_VIG_unbt_min,dur_day_MVPA_bts_10_min,dur_day_MVPA_bts_5_10_min,dur_day_MVPA_bts_1_5_min,dur_day_IN_bts_30_min,dur_day_IN_bts_20_30_min,dur_day_IN_bts_10_20_min,dur_day_LIG_bts_10_min,dur_day_LIG_bts_5_10_min,dur_day_LIG_bts_1_5_min,dur_day_total_IN_min,dur_day_total_LIG_min,dur_day_total_MOD_min,dur_day_total_VIG_min,dur_day_min,dur_spt_min,dur_day_spt_min,N_atleast5minwakenight,sleep_efficiency_after_onset,tail_expansion_minutes,ACC_spt_sleep_mg,ACC_spt_wake_IN_mg,ACC_spt_wake_LIG_mg,ACC_spt_wake_MOD_mg,ACC_spt_wake_VIG_mg,ACC_day_IN_unbt_mg,ACC_day_LIG_unbt_mg,ACC_day_MOD_unbt_mg,ACC_day_VIG_unbt_mg,ACC_day_MVPA_bts_10_mg,ACC_day_MVPA_bts_5_10_mg,ACC_day_MVPA_bts_1_5_mg,ACC_day_IN_bts_30_mg,ACC_day_IN_bts_20_30_mg,ACC_day_IN_bts_10_20_mg,ACC_day_LIG_bts_10_mg,ACC_day_LIG_bts_5_10_mg,ACC_day_LIG_bts_1_5_mg,ACC_day_total_IN_mg,ACC_day_total_LIG_mg,ACC_day_total_MOD_mg,ACC_day_total_VIG_mg,ACC_day_mg,ACC_spt_mg,ACC_spt_mg_median,ACC_spt_mg_stdev,ACC_day_spt_mg,quantile_mostactive60min_mg,quantile_mostactive30min_mg,L5TIME,L5VALUE,M5TIME,M5VALUE,M5_mean_peakLUX,M5_max_peakLUX,L5TIME_num,M5TIME_num,Nbouts_day_MVPA_bts_10,Nbouts_day_MVPA_bts_5_10,Nbouts_day_MVPA_bts_1_5,Nbouts_day_IN_bts_30,Nbouts_day_IN_bts_20_30,Nbouts_day_IN_bts_10_20,Nbouts_day_LIG_bts_10,Nbouts_day_LIG_bts_5_10,Nbouts_day_LIG_bts_1_5,Nblocks_spt_sleep,Nblocks_spt_wake_IN,Nblocks_spt_wake_LIG,Nblocks_spt_wake_MOD,Nblocks_spt_wake_VIG,Nblocks_day_IN_unbt,Nblocks_day_LIG_unbt,Nblocks_day_MOD_unbt,Nblocks_day_VIG_unbt,Nblocks_day_MVPA_bts_10,Nblocks_day_MVPA_bts_5_10,Nblocks_day_MVPA_bts_1_5,Nblocks_day_IN_bts_30,Nblocks_day_IN_bts_20_30,Nblocks_day_IN_bts_10_20,Nblocks_day_LIG_bts_10,Nblocks_day_LIG_bts_5_10,Nblocks_day_LIG_bts_1_5,Nblocks_day_total_IN,Nblocks_day_total_LIG,Nblocks_day_total_MOD,Nblocks_day_total_VIG,boutcriter.in,boutcriter.lig,boutcriter.mvpa,boutdur.in,boutdur.lig,boutdur.mvpa,GGIRversion,daytype
Lup001,Lup001 thigh pre.cwa.RData,Wednesday,2022-07-20,1,07:17:35-03:21:55,24.258,00:15:30,27.367,03:22:00,2,0,1,HDCZA,0,1,0,24.129,3.736,128.083,58.25,0.167,0,0,84.167,22,15.667,0,11.667,13.5,30.417,821.833,0,18.667,0,0,0,865.167,70.5,82.25,0,1017.917,186.5,1204.417,0,0.687,0,0.777,5.341,59.15,,,10.39,64.827,160.806,,228.764,219.32,220.343,11.093,,21.872,,,,6.191,63.037,205.184,,26.207,2.254,0.3,4.711,22.498,141.31,237.302,2022-07-20 20:57:35,8.67,2022-07-20 11:07:35,49.166,332,571,20.96,11.126,1,2,21,17,0,1,0,0,0,5,6,2,0,0,173,191,103,0,1,2,21,17,0,1,0,0,0,585,611,283,0,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WD
Lup001,Lup001 thigh pre.cwa.RData,Thursday,2022-07-21,2,03:22:00-07:26:40,27.185,03:11:05,31.446,07:26:45,3,0,1,HDCZA,0,1,0,41.069,6.232,138.75,116.75,0.167,0,0,50.417,15.75,9.583,0.083,10.333,10.833,8.583,1252.417,21.583,49.5,0,0,0,1304.833,76.833,47.333,0.083,1429.083,255.667,1684.75,0,0.543,0,2.775,4.028,46.45,,,10.559,62.619,172.11,416.8,246.276,259.325,205.791,8.619,12.425,16.795,,,,5.618,60.362,215.81,416.8,15.547,3.376,3.2,3.264,13.7,78.514,167.6,2022-07-21 23:42:00,3.383,2022-07-21 07:42:00,43.077,407.7,540,23.7,7.7,1,2,6,23,2,7,0,0,0,6,7,2,0,0,89,129,55,1,1,2,6,23,2,7,0,0,0,655,656,167,1,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WD
Lup001,Lup001 thigh pre.cwa.RData,Friday,2022-07-22,3,07:26:45-06:59:50,29.018,05:01:05,30.999,06:59:55,4,0,1,HDCZA,0,1,6.953,0,6.369,109.833,9,0,0,0,41.833,12.417,7,0,0,0,0,1230.583,0,0,0,0,2.5,1200.583,72.167,21.583,0,1294.333,118.833,1413.167,0,0.924,0,5.275,10.76,,,,11.66,61.569,175.239,,,,,9.767,,,,,77.993,5.904,60.525,149.978,,11.352,5.69,5.3,3.665,10.876,55.6,83,2022-07-23 00:16:45,5.301,2022-07-22 17:16:45,16.18,240.4,580,24.279,17.279,0,0,0,21,0,0,0,0,2,3,2,0,0,0,73,101,40,0,0,0,0,21,0,0,0,0,2,561,591,160,0,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WD
Lup001,Lup001 thigh pre.cwa.RData,Saturday,2022-07-23,4,06:59:55-07:01:25,28.628,04:37:40,31.025,07:01:30,5,0,2,HDCZA,0,1,26.019,100,33.401,0,143.833,0,0,0,94.667,32.167,9.333,0,9.583,10.083,9.083,1006.583,97.917,28.333,0,0,0,1166,86.917,44.417,0.417,1297.75,143.833,1441.583,0,0,0,,3.989,,,,11.875,63.08,149.677,,297.946,288.967,238.705,9.548,15.227,13.469,,,,7.005,60.356,233.48,446.72,18.471,3.989,3.3,2.659,17.026,76.7,167.102,2022-07-24 01:09:55,4.237,2022-07-23 08:39:55,37.152,363.3,642,25.165,8.665,1,2,6,22,9,3,0,0,0,0,1,0,0,0,198,257,73,0,1,2,6,22,9,3,0,0,0,688,718,171,4,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WE
Lup002,Lup002 Thigh Pre.cwa.RData,Friday,2022-04-29,1,06:16:45-05:27:25,22.003,22:00:10,29.458,05:27:30,2,0,1,HDCZA,0,1,0,0,0,405.417,40.25,1,0.667,0,169.5,47.5,23.917,0,0,7.833,13.917,579,43.833,56.667,0,0,1.25,808.917,75.333,59.167,0,943.417,447.333,1390.75,2,0.906,0,8.022,7.68,74.183,134.762,,13.367,63.543,176.018,,,220.805,242.851,14.129,13.479,19.985,,,78.04,9.438,63.469,206.015,,26.081,8.328,7.6,8.403,20.37,99.6,194.804,2022-04-29 19:16:45,6.709,2022-04-29 06:36:45,37.864,198.9,383,19.279,6.612,0,1,14,7,2,5,0,0,2,8,14,11,6,0,344,376,138,0,0,1,12,7,2,5,0,0,2,588,612,240,0,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WD
Lup002,Lup002 Thigh Pre.cwa.RData,Saturday,2022-04-30,2,05:27:30-07:26:40,20.632,20:37:55,31.446,07:26:45,3,0,1,HDCZA,0,1,0,0,0,556.417,88.5,3,0.917,0,53.5,27.417,20.917,0,0,6.5,12.917,786.75,0,0,0,0,2.417,801.5,59.167,49.667,0.083,910.417,648.833,1559.25,7,0.858,0,5.24,3.902,65.608,128,,13.239,69.616,152.369,,,121.664,194.094,10.209,,,,,68.028,6.26,68.23,165.311,403.1,19.001,5.51,1.6,9.318,13.387,90.3,130.902,2022-04-30 19:57:30,3.59,2022-04-30 14:17:30,29.434,184.7,185,19.958,14.292,0,2,10,14,0,0,0,0,2,19,34,26,9,0,126,196,121,0,0,2,10,14,0,0,0,0,2,349,437,235,1,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WE
Lup002,Lup002 Thigh Pre.cwa.RData,Sunday,2022-05-01,3,07:26:45-22:59:50,22.833,22:50:00,22.999,22:59:55,4,0,2,HDCZA,0,1,0,0,0,9.917,0,0,0,0,112.667,63,41.083,0,0,10.833,1.5,648.417,21.75,14.083,0,0,9.917,745.833,108.833,68.583,0,923.25,9.917,933.167,0,1,0,8.373,,,,,14.369,66.643,148.119,,,121.859,177.3,12.2,18.128,14.779,,,82.966,7.529,66.817,144.898,,24.722,8.373,6.5,19.419,24.548,105.806,138.6,2022-05-01 16:26:45,11.912,2022-05-01 10:46:45,39.441,184.9,185,16.446,10.779,0,3,1,10,1,1,0,0,8,1,0,0,0,0,373,450,274,0,0,3,1,10,1,1,0,0,8,664,765,418,0,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WE
Lup003,Lup003 thigh pre (1).cwa.RData,Sunday,2023-01-22,1,09:14:25-05:45:00,23.56,23:33:35,29.751,05:45:05,2,0,1,HDCZA,0,1,0,0,0,313.083,55.5,2.5,0.417,0,194.333,80.75,49.667,0,0,5.333,9.25,462,0,51.417,0,0,6.417,671.667,110.75,74.333,2.417,859.167,371.5,1230.667,2,0.843,0,2.857,4.421,58.203,157.24,,15.548,65.7,139.303,,,306.475,159.989,10.522,,15.047,,,66.326,7.781,65.21,146.261,455.259,28.423,3.636,2.7,8.295,20.941,113.405,146.8,2023-01-22 22:14:25,3.388,2023-01-22 09:14:25,41.979,194.1,195,22.24,9.24,0,1,9,6,0,5,0,0,6,13,24,20,4,0,554,611,376,0,0,1,9,6,0,5,0,0,6,764,837,529,6,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WE
Lup003,Lup003 thigh pre (1).cwa.RData,Monday,2023-01-23,2,05:45:05-06:50:00,23.456,23:27:20,30.835,06:50:05,3,0,1,HDCZA,0,1,0,0,0,421.333,19.25,1.917,0.25,0,199.75,52.667,36,0,0,10.75,36.583,645,45.25,35.167,0,0,1.083,881.5,85.75,94.833,0.167,1062.25,442.75,1505,0,0.952,0,3.005,6.237,61.861,112.567,,13.769,64.292,173.047,,,206.202,245.271,10.758,23.727,19.588,,,52.754,8.295,63.873,205.15,418.55,30.42,3.462,2.3,6.919,22.49,157.82,252.706,2023-01-23 23:25:05,2.919,2023-01-23 09:35:05,57.675,194.7,195,23.418,9.585,0,2,20,14,2,3,0,0,1,13,19,15,2,0,372,423,225,0,0,2,20,14,2,3,0,0,1,628,699,380,1,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WD
Lup003,Lup003 thigh pre (1).cwa.RData,Tuesday,2023-01-24,3,06:50:05-07:04:40,20.747,20:44:50,31.079,07:04:45,4,0,1,HDCZA,0,1,0,0,0,534.333,78.833,4.917,1.833,0,129.25,36.083,26,0,0,11.667,21.417,571.083,0,30.583,0,0,8.667,699.25,65.667,69.583,0.25,834.75,619.917,1454.667,3,0.862,0,2.165,4.768,58.307,144.718,,13.504,65.879,164.322,,,242.006,210.968,12.271,,16.167,,,67.132,8.251,65.902,195.734,415.367,28.536,3.363,1.1,10.633,17.808,118.704,191.002,2023-01-24 23:40:05,2.948,2023-01-24 10:10:05,39.338,206.9,424,23.668,10.168,0,2,18,9,0,5,0,0,7,28,54,45,14,0,278,297,177,0,0,2,17,9,0,5,0,0,7,464,497,304,3,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.1.2,WD
